celebrity_name,wikidata_qid,wikidata_label,wikidata_social_media_followers,wikidata_social_media_followers_point_in_time,error
Normani,Q28148022,Normani,1980000,2025-04-14T00:00:00Z,
Nick Viall,Q29000519,Nick Viall,297550,2023-02-11T00:00:00Z,
Sasha Pieterse,Q238712,Sasha Pieterse,67900,2025-03-15T00:00:00Z,
Frankie Muniz,Q310275,Frankie Muniz,333591,2023-02-06T00:00:00Z,
Jordan Fisher,Q19955856,Jordan Fisher,394000,2025-05-11T00:00:00Z,
Derek Fisher,Q314621,Derek Fisher,890215,2023-02-10T00:00:00Z,
Nikki Bella,,,,,no_wikidata_match
Terrell Owens,Q1395269,Terrell Owens,1391474,2023-02-08T00:00:00Z,
Victoria Arlen,Q7926560,Victoria Arlen,,,no_followers
Barbara Corcoran,Q4858830,Barbara Corcoran,739046,2023-02-04T00:00:00Z,
Lindsey Stirling,Q128667,Lindsey Stirling,14300000,2025-05-01T00:00:00Z,
Debbie Gibson,Q233817,Debbie Gibson,113000,2025-02-22T00:00:00Z,
Nick Lachey,Q356109,Nick Lachey,56700,2025-05-18T00:00:00Z,
Drew Scott,Q23881720,Drew Scott,906885,2023-02-04T00:00:00Z,
Vanessa Lachey,Q270638,Vanessa Lachey,150838,2023-02-04T00:00:00Z,
Jamie Anderson,Q2944286,Jamie Anderson,61322,2023-02-09T00:00:00Z,
Johnny Damon,Q25720,Johnny Damon,,,no_followers
Kareem Abdul-Jabbar,Q179051,Kareem Abdul-Jabbar,19100,2025-07-05T00:00:00Z,
Arike Ogunbowale,Q51858305,Arike Ogunbowale,43775,2023-02-04T00:00:00Z,
Jennie Finch Daigle,,,,,no_wikidata_match
Chris Mazdzer,Q937658,Chris Mazdzer,17519,2023-02-05T00:00:00Z,
Mirai Nagasu,Q628161,Mirai Nagasu,93295,2023-02-05T00:00:00Z,
Tonya Harding,Q236278,Tonya Harding,,,no_followers
Josh Norman,Q3810322,Josh Norman,186591,2023-02-06T00:00:00Z,
Adam Rippon,Q350722,Adam Rippon,83900,2025-05-25T00:00:00Z,
Juan Pablo Di Pace,Q6300659,Juan Pablo Di Pace,46789,2023-02-09T00:00:00Z,
Evanna Lynch,Q211730,Evanna Lynch,1181183,2020-04-25T00:00:00Z,
Nancy McKeon,Q2779246,Nancy McKeon,,,no_followers
John Schneider,Q286642,John Schneider,70833,2023-02-10T00:00:00Z,
Milo Manheim,Q47540917,Milo Manheim,81434,2023-02-03T00:00:00Z,
Danelle Umstead,Q5215881,Danelle Umstead,3137,2021-01-03T00:00:00Z,
Mary Lou Retton,Q235975,Mary Lou Retton,,,no_followers
DeMarcus Ware,Q2761454,DeMarcus Ware,766734,2023-02-10T00:00:00Z,
Nikki Glaser,Q7035226,Nikki Glaser,94000,2025-04-27T00:00:00Z,
Bobby Bones,Q17385667,Bobby Bones,290000,2025-01-25T00:00:00Z,
Tinashe,Q434745,Tinashe,2180000,2025-03-30T00:00:00Z,
Alexis Ren,Q18637906,Alexis Ren,1120000,2025-05-18T00:00:00Z,
Joe Amabile,Q102993171,Joe Amabile,101759,2023-02-05T00:00:00Z,
Kate Flannery,Q3028200,Kate Flannery,314456,2023-02-06T00:00:00Z,
James Van Der Beek,Q313392,James Van Der Beek,263127,2023-02-09T00:00:00Z,
Kel Mitchell,Q2657882,Kel Mitchell,120138,2023-02-11T00:00:00Z,
Ray Lewis,Q44428,Ray Lewis,,,no_followers
Lamar Odom,Q296403,Lamar Odom,3607877,2023-02-11T00:00:00Z,
Sailor Brinkley-Cook,,,,,no_wikidata_match
Sean Spicer,Q27829251,Sean Spicer,190000,2025-11-22T00:00:00Z,
Mary Wilson,Q2302368,Mary Wilson,,,no_followers
Lauren Alaina,Q271796,Lauren Alaina,675448,2021-01-06T00:00:00Z,
Ally Brooke,Q22965780,Ally Brooke,375000,2025-04-13T00:00:00Z,
Karamo Brown,Q44870529,Karamo Brown,423817,2023-02-04T00:00:00Z,
Hannah Brown,Q62050730,Hannah Brown,,,no_followers
Anne Heche,Q234610,Anne Heche,18304,2022-08-23T00:00:00Z,
Jesse Metcalfe,Q317740,Jesse Metcalfe,190215,2023-02-12T00:00:00Z,
Chrishell Stause,Q5108579,Chrishell Stause,143740,2023-02-10T00:00:00Z,
Skai Jackson,Q297724,Skai Jackson,1570000,2025-06-14T00:00:00Z,
Justina Machado,Q270382,Justina Machado,72004,2023-02-07T00:00:00Z,
Charles Oakley,Q608514,Charles Oakley,,,no_followers
Veron Davis,,,,,wikidata_error:ReadTimeout
Johnny Weir,Q352193,Johnny Weir,375316,2022-02-25T00:00:00Z,
Nev Schulman,Q15142015,Nev Schulman,,,no_followers
AJ McLean,,,,,no_wikidata_match
Nelly,Q218992,Nelly,3698908,2023-02-06T00:00:00Z,
Kaitlyn Bristowe,Q20090345,Kaitlyn Bristowe,454401,2023-02-07T00:00:00Z,
Carole Baskin,Q88495947,Carole Baskin,,,no_followers
Monica Aldama,Q83688538,Monica Aldama,49475,2023-02-04T00:00:00Z,
Jeannie Mai,Q3176267,Jeannie Mai,791000,2025-05-11T00:00:00Z,
Martin Kove,Q508795,Martin Kove,,,no_followers
Brian Austin Green,Q313311,Brian Austin Green,,,no_followers
Melora Hardin,Q269901,Melora Hardin,47921,2023-02-07T00:00:00Z,
Matt James,Q96392273,Matt James,,,no_followers
"Mike ""The Miz"" Mizanin",,,,,no_wikidata_match
Suni Lee,,,,,no_wikidata_match
Iman Shumpert,Q716081,Iman Shumpert,658986,2023-02-05T00:00:00Z,
Cody Rigsby,Q109670980,Cody Rigsby,,,no_followers
Melanie C,Q151830,Melanie C,222000,2025-04-25T00:00:00Z,
Jimmie Allen,Q55584464,Jimmie Allen,320000,2025-05-31T00:00:00Z,
Olivia Jade,Q62065482,Olivia Jade,1830000,2025-06-14T00:00:00Z,
JoJo Siwa,Q24174947,JoJo Siwa,12100000,2025-04-27T00:00:00Z,
Christine Chiu,Q105491159,Christine Chiu,,,no_followers
Kenya Moore,Q447710,Kenya Moore,725672,2023-02-07T00:00:00Z,
Amanda Kloots,Q102193042,Amanda Kloots,,,no_followers
Jason Lewis,Q27322,Jason Lewis,,,no_followers
Cheryl Ladd,Q218884,Cheryl Ladd,20852,2023-02-06T00:00:00Z,
Selma Blair,Q264748,Selma Blair,172728,2023-02-03T00:00:00Z,
Joseph Baena,Q23800185,Joseph Baena,,,no_followers
Trevor Donovan,Q716071,Trevor Donovan,157856,2023-02-06T00:00:00Z,
Daniel Durant,Q22046533,Daniel Durant,13782,2023-02-05T00:00:00Z,
Wayne Brady,Q1397155,Wayne Brady,391437,2023-02-10T00:00:00Z,
Sam Champion,Q7407306,Sam Champion,521167,2023-02-10T00:00:00Z,
Jessie James Decker,Q436276,Jessie James Decker,265000,2025-05-18T00:00:00Z,
Jordin Sparks,Q215300,Jordin Sparks,3538570,2023-02-06T00:00:00Z,
Heidi D'Amelio,Q100791818,Heidi D'Amelio,573919,2023-02-07T00:00:00Z,
