celebrity_name,season,normalized_average,variants_searched
Milo Manheim,27,0.441081,4
Nancy McKeon,27,0.328237,5
DeMarcus Ware,27,0.301261,5
Tinashe,27,0.165403,3
Evanna Lynch,27,0.140206,4
Juan Pablo Di Pace,27,0.069086,4
Joe Amabile,27,0.012326,4
Danelle Umstead,27,0.0,4
Hannah Brown,28,1.0,4
Sean Spicer,28,0.72198,4
James Van Der Beek,28,0.656041,4
Lamar Odom,28,0.538443,4
Lauren Alaina,28,0.471537,4
Ray Lewis,28,0.416393,4
Ally Brooke,28,0.338741,4
Kel Mitchell,28,0.27797,4
Kate Flannery,28,0.236331,4
Mary Wilson,28,0.169933,4
Karamo Brown,28,0.169371,4
Sailor Brinkley-Cook,28,0.0,4
Carole Baskin,29,1.0,4
Nelly,29,0.835756,3
Skai Jackson,29,0.799444,4
Jeannie Mai,29,0.53321,4
Chrishell Stause,29,0.448292,4
Anne Heche,29,0.433282,4
Jesse Metcalfe,29,0.310256,4
Kaitlyn Bristowe,29,0.287338,4
Johnny Weir,29,0.219789,4
Justina Machado,29,0.195265,4
Nev Schulman,29,0.182355,4
AJ McLean,29,0.14721,5
Charles Oakley,29,0.140431,4
Monica Aldama,29,0.135501,4
Veron Davis,29,0.0,4
JoJo Siwa,30,1.0,5
Amanda Kloots,30,0.220117,4
Olivia Jade,30,0.21301,4
Jimmie Allen,30,0.17952,4
Iman Shumpert,30,0.16207,4
Brian Austin Green,30,0.156666,4
Cody Rigsby,30,0.13972,4
Melora Hardin,30,0.124703,4
Suni Lee,30,0.121054,4
Matt James,30,0.106603,4
Kenya Moore,30,0.096942,4
Martin Kove,30,0.04396,4
Melanie C,30,0.03362,4
Christine Chiu,30,0.03164,4
"Mike ""The Miz"" Mizanin",30,0.0,4
Charli D'Amelio,31,1.0,8
Selma Blair,31,0.783294,4
Wayne Brady,31,0.425284,4
Trevor Donovan,31,0.273362,4
Joseph Baena,31,0.211039,4
Gabby Windey,31,0.196571,4
Teresa Giudice,31,0.182625,4
Jordin Sparks,31,0.172062,4
Cheryl Ladd,31,0.130295,4
Jessie James Decker,31,0.091668,4
Daniel Durant,31,0.039572,4
Shangela,31,0.03153,3
Jason Lewis,31,0.03029,4
Heidi D'Amelio,31,0.010969,8
Vinny Guadagnino,31,0.002674,4
Sam Champion,31,0.0,4
Harry Jowsey,32,1.0,4
Barry Williams,32,0.923226,4
Xochitl Gomez,32,0.772033,4
Jason Mraz,32,0.725114,4
Mira Sorvino,32,0.626253,4
Jamie Lynn Spears,32,0.614511,4
Alyson Hannigan,32,0.488157,4
Ariana Madix,32,0.474596,4
Mauricio Umansky,32,0.356087,4
Matt Walsh,32,0.348969,4
Adrian Peterson,32,0.308194,4
Lele Pons,32,0.226004,4
Charity Lawson,32,0.06337,4
Tyson Beckford,32,0.0,4
Anna Delvey,33,1.0,4
Ilona Maher,33,0.750998,4
Danny Amendola,33,0.52097,4
Eric Roberts,33,0.460158,4
Brooks Nader,33,0.445423,4
Jenn Tran,33,0.316197,4
